Year,Concept_ID,Concept_Name,Work_Count
2022,https://openalex.org/C202444582,Pure mathematics,369
2022,https://openalex.org/C142362112,Art,359
2022,https://openalex.org/C98045186,Process (computing),355
2022,https://openalex.org/C9652623,Field (mathematics),340
2022,https://openalex.org/C185592680,Chemistry,332
2022,https://openalex.org/C31972630,Computer vision,329
2022,https://openalex.org/C204321447,Natural language processing,321
2022,https://openalex.org/C115961682,Image (mathematics),315
2022,https://openalex.org/C151730666,Paleontology,310
2022,https://openalex.org/C142724271,Pathology,309
2022,https://openalex.org/C134306372,Mathematical analysis,305
2022,https://openalex.org/C2779343474,Context (archaeology),297
2022,https://openalex.org/C11413529,Algorithm,296
2022,https://openalex.org/C76155785,Telecommunications,296
2022,https://openalex.org/C77805123,Social psychology,296
2022,https://openalex.org/C81363708,Convolutional neural network,293
2022,https://openalex.org/C166957645,Archaeology,265
2022,https://openalex.org/C36289849,Social science,257
2022,https://openalex.org/C55493867,Biochemistry,252
2022,https://openalex.org/C78519656,Mechanical engineering,242
2023,https://openalex.org/C41008148,Computer science,14601
2023,https://openalex.org/C154945302,Artificial intelligence,10420
2023,https://openalex.org/C15744967,Psychology,4371
2023,https://openalex.org/C127413603,Engineering,4158
2023,https://openalex.org/C17744445,Political science,3552
2023,https://openalex.org/C119857082,Machine learning,3398
2023,https://openalex.org/C138885662,Philosophy,3383
2023,https://openalex.org/C39890363,Generative grammar,3293
2023,https://openalex.org/C33923547,Mathematics,3267
2023,https://openalex.org/C199539241,Law,3078
2023,https://openalex.org/C2522767166,Data science,2889
2023,https://openalex.org/C86803240,Biology,2827
2023,https://openalex.org/C71924100,Medicine,2706
2023,https://openalex.org/C199360897,Programming language,2470
2023,https://openalex.org/C144024400,Sociology,2357
2023,https://openalex.org/C121332964,Physics,2183
2023,https://openalex.org/C111919701,Operating system,2143
2023,https://openalex.org/C162324750,Economics,1835
2023,https://openalex.org/C144133560,Business,1816
2023,https://openalex.org/C136764020,World Wide Web,1754
2023,https://openalex.org/C41895202,Linguistics,1626
2023,https://openalex.org/C38652104,Computer security,1606
2023,https://openalex.org/C111472728,Epistemology,1593
2023,https://openalex.org/C204321447,Natural language processing,1439
2023,https://openalex.org/C108583219,Deep learning,1380
2023,https://openalex.org/C56739046,Knowledge management,1320
2023,https://openalex.org/C77805123,Social psychology,1304
2023,https://openalex.org/C107457646,Human–computer interaction,1228
2023,https://openalex.org/C142362112,Art,1205
2023,https://openalex.org/C62520636,Quantum mechanics,1203
2023,https://openalex.org/C98045186,Process (computing),1186
2023,https://openalex.org/C151730666,Paleontology,1154
2023,https://openalex.org/C2779343474,Context (archaeology),1135
2023,https://openalex.org/C202444582,Pure mathematics,1099
2023,https://openalex.org/C205649164,Geography,1064
2023,https://openalex.org/C55587333,Engineering ethics,1043
2023,https://openalex.org/C9652623,Field (mathematics),1027
2023,https://openalex.org/C153180895,Pattern recognition (psychology),1024
2023,https://openalex.org/C185592680,Chemistry,1012
2023,https://openalex.org/C124101348,Data mining,1001
2023,https://openalex.org/C36289849,Social science,931
2023,https://openalex.org/C134306372,Mathematical analysis,896
2023,https://openalex.org/C50644808,Artificial neural network,889
2023,https://openalex.org/C19417346,Pedagogy,876
2023,https://openalex.org/C166957645,Archaeology,843
2023,https://openalex.org/C145420912,Mathematics education,829
2023,https://openalex.org/C78519656,Mechanical engineering,829
2023,https://openalex.org/C169760540,Neuroscience,813
2023,https://openalex.org/C167966045,Generative model,798
2023,https://openalex.org/C115961682,Image (mathematics),788
2024,https://openalex.org/C41008148,Computer science,18017
2024,https://openalex.org/C154945302,Artificial intelligence,12412
2024,https://openalex.org/C39890363,Generative grammar,7246
2024,https://openalex.org/C15744967,Psychology,6503
2024,https://openalex.org/C127413603,Engineering,4497
2024,https://openalex.org/C17744445,Political science,3534
2024,https://openalex.org/C138885662,Philosophy,3047
2024,https://openalex.org/C71924100,Medicine,2991
2024,https://openalex.org/C199539241,Law,2782
2024,https://openalex.org/C86803240,Biology,2773
2024,https://openalex.org/C144133560,Business,2743
2024,https://openalex.org/C144024400,Sociology,2609
2024,https://openalex.org/C2522767166,Data science,2599
2024,https://openalex.org/C33923547,Mathematics,2582
2024,https://openalex.org/C119857082,Machine learning,2100
2024,https://openalex.org/C121332964,Physics,1970
2024,https://openalex.org/C145420912,Mathematics education,1855
2024,https://openalex.org/C199360897,Programming language,1821
2024,https://openalex.org/C162324750,Economics,1818
2024,https://openalex.org/C136764020,World Wide Web,1611
2024,https://openalex.org/C41895202,Linguistics,1591
2024,https://openalex.org/C107457646,Human–computer interaction,1502
2024,https://openalex.org/C38652104,Computer security,1469
2024,https://openalex.org/C56739046,Knowledge management,1436
2024,https://openalex.org/C204321447,Natural language processing,1430
2024,https://openalex.org/C19417346,Pedagogy,1388
2024,https://openalex.org/C205649164,Geography,1363
2024,https://openalex.org/C111919701,Operating system,1359
2024,https://openalex.org/C111472728,Epistemology,1308
2024,https://openalex.org/C77805123,Social psychology,1246
2024,https://openalex.org/C185592680,Chemistry,1127
2024,https://openalex.org/C142362112,Art,1126
2024,https://openalex.org/C188147891,Cognitive science,1095
2024,https://openalex.org/C167966045,Generative model,1092
2024,https://openalex.org/C55587333,Engineering ethics,1064
2024,https://openalex.org/C166957645,Archaeology,949
2024,https://openalex.org/C169760540,Neuroscience,926
2024,https://openalex.org/C62520636,Quantum mechanics,875
2024,https://openalex.org/C18903297,Ecology,798
2024,https://openalex.org/C55493867,Biochemistry,797
2024,https://openalex.org/C151730666,Paleontology,761
2024,https://openalex.org/C162853370,Marketing,743
2024,https://openalex.org/C108583219,Deep learning,738
2024,https://openalex.org/C2779343474,Context (archaeology),717
2024,https://openalex.org/C36289849,Social science,717
2024,https://openalex.org/C78519656,Mechanical engineering,711
2024,https://openalex.org/C98045186,Process (computing),708
2024,https://openalex.org/C49774154,Multimedia,699
2024,https://openalex.org/C115961682,Image (mathematics),691
2024,https://openalex.org/C115903868,Software engineering,671
2025,https://openalex.org/C41008148,Computer science,13553
2025,https://openalex.org/C154945302,Artificial intelligence,10296
2025,https://openalex.org/C39890363,Generative grammar,8166
2025,https://openalex.org/C15744967,Psychology,5981
2025,https://openalex.org/C127413603,Engineering,3038
2025,https://openalex.org/C17744445,Political science,2278
2025,https://openalex.org/C144133560,Business,2211
2025,https://openalex.org/C71924100,Medicine,2176
2025,https://openalex.org/C138885662,Philosophy,2073
2025,https://openalex.org/C144024400,Sociology,1988
2025,https://openalex.org/C145420912,Mathematics education,1940
2025,https://openalex.org/C199539241,Law,1751
2025,https://openalex.org/C86803240,Biology,1582
2025,https://openalex.org/C2522767166,Data science,1511
2025,https://openalex.org/C33923547,Mathematics,1461
2025,https://openalex.org/C19417346,Pedagogy,1244
2025,https://openalex.org/C41895202,Linguistics,1194
2025,https://openalex.org/C162324750,Economics,1188
2025,https://openalex.org/C56739046,Knowledge management,1155
2025,https://openalex.org/C119857082,Machine learning,1089
2025,https://openalex.org/C107457646,Human–computer interaction,1088
2025,https://openalex.org/C121332964,Physics,1085
2025,https://openalex.org/C204321447,Natural language processing,1044
2025,https://openalex.org/C188147891,Cognitive science,1018
2025,https://openalex.org/C167966045,Generative model,1015
2025,https://openalex.org/C136764020,World Wide Web,992
2025,https://openalex.org/C199360897,Programming language,990
2025,https://openalex.org/C77805123,Social psychology,952
2025,https://openalex.org/C205649164,Geography,906
2025,https://openalex.org/C111472728,Epistemology,859
2025,https://openalex.org/C38652104,Computer security,849
2025,https://openalex.org/C169760540,Neuroscience,769
2025,https://openalex.org/C142362112,Art,756
2025,https://openalex.org/C55587333,Engineering ethics,753
2025,https://openalex.org/C111919701,Operating system,659
2025,https://openalex.org/C185592680,Chemistry,658
2025,https://openalex.org/C162853370,Marketing,650
2025,https://openalex.org/C166957645,Archaeology,564
2025,https://openalex.org/C49774154,Multimedia,528
2025,https://openalex.org/C36289849,Social science,489
2025,https://openalex.org/C509550671,Medical education,485
2025,https://openalex.org/C126322002,Internal medicine,468
2025,https://openalex.org/C18903297,Ecology,456
2025,https://openalex.org/C115903868,Software engineering,452
2025,https://openalex.org/C10138342,Finance,451
2025,https://openalex.org/C78519656,Mechanical engineering,447
2025,https://openalex.org/C62520636,Quantum mechanics,420
2025,https://openalex.org/C134306372,Mathematical analysis,417
2025,https://openalex.org/C55493867,Biochemistry,410
2025,https://openalex.org/C153349607,Visual arts,388
